nohup: ignoring input
[progress] wrote=1540000 skipped=39525 rows/sec=3320.5
[progress] wrote=1550000 skipped=39794 rows/sec=3333.6
[progress] wrote=1560000 skipped=40056 rows/sec=3346.6
[progress] wrote=1570000 skipped=40324 rows/sec=3359.5
[progress] wrote=1580000 skipped=40572 rows/sec=3372.4
[progress] wrote=1590000 skipped=40826 rows/sec=3385.3
[progress] wrote=1600000 skipped=41108 rows/sec=3398.1
[progress] wrote=1610000 skipped=41343 rows/sec=3410.8
[progress] wrote=1620000 skipped=41597 rows/sec=3423.5
[progress] wrote=1630000 skipped=41824 rows/sec=3436.1
[progress] wrote=1640000 skipped=42073 rows/sec=3448.6
[progress] wrote=1650000 skipped=42340 rows/sec=3461.0
[progress] wrote=1660000 skipped=42601 rows/sec=3473.4
[progress] wrote=1670000 skipped=42842 rows/sec=3485.7
[progress] wrote=1680000 skipped=43091 rows/sec=3377.9
[progress] wrote=1690000 skipped=43299 rows/sec=3389.9
[progress] wrote=1700000 skipped=43544 rows/sec=3401.9
[progress] wrote=1710000 skipped=43847 rows/sec=3413.8
[progress] wrote=1720000 skipped=44127 rows/sec=3425.7
[progress] wrote=1730000 skipped=44370 rows/sec=3437.5
[progress] wrote=1740000 skipped=44641 rows/sec=3449.3
[progress] wrote=1750000 skipped=44897 rows/sec=3461.1
[progress] wrote=1760000 skipped=45159 rows/sec=3472.8
[progress] wrote=1770000 skipped=45442 rows/sec=3484.4
[progress] wrote=1780000 skipped=45694 rows/sec=3496.0
[progress] wrote=1790000 skipped=45969 rows/sec=3507.6
[progress] wrote=1800000 skipped=46223 rows/sec=3519.0
[progress] wrote=1810000 skipped=46469 rows/sec=3530.5
[progress] wrote=1820000 skipped=46704 rows/sec=3541.8
[progress] wrote=1830000 skipped=46938 rows/sec=3421.5
[progress] wrote=1840000 skipped=47189 rows/sec=3432.6
[progress] wrote=1850000 skipped=47416 rows/sec=3443.6
[progress] wrote=1860000 skipped=47672 rows/sec=3454.3
[progress] wrote=1870000 skipped=47907 rows/sec=3465.0
[progress] wrote=1880000 skipped=48154 rows/sec=3475.7
[progress] wrote=1890000 skipped=48422 rows/sec=3486.2
[progress] wrote=1900000 skipped=48675 rows/sec=3496.8
[progress] wrote=1910000 skipped=48923 rows/sec=3507.4
[progress] wrote=1920000 skipped=49148 rows/sec=3517.8
[progress] wrote=1930000 skipped=49458 rows/sec=3528.3
[progress] wrote=1940000 skipped=49718 rows/sec=3538.8
[progress] wrote=1950000 skipped=50000 rows/sec=3549.2
[progress] wrote=1960000 skipped=50259 rows/sec=3559.3
[progress] wrote=1970000 skipped=50530 rows/sec=3569.5
[progress] wrote=1980000 skipped=50793 rows/sec=3443.8
[progress] wrote=1990000 skipped=51049 rows/sec=3454.1
[progress] wrote=2000000 skipped=51305 rows/sec=3464.4
[progress] wrote=2010000 skipped=51575 rows/sec=3474.6
[progress] wrote=2020000 skipped=51813 rows/sec=3484.9
[progress] wrote=2030000 skipped=52067 rows/sec=3495.0
[progress] wrote=2040000 skipped=52336 rows/sec=3505.1
[progress] wrote=2050000 skipped=52571 rows/sec=3515.3
[progress] wrote=2060000 skipped=52843 rows/sec=3525.3
[progress] wrote=2070000 skipped=53109 rows/sec=3535.3
[progress] wrote=2080000 skipped=53394 rows/sec=3545.3
[progress] wrote=2090000 skipped=53628 rows/sec=3555.2
[progress] wrote=2100000 skipped=53877 rows/sec=3565.2
[progress] wrote=2110000 skipped=54141 rows/sec=3575.0
[progress] wrote=2120000 skipped=54398 rows/sec=3584.8
[progress] wrote=2130000 skipped=54632 rows/sec=3498.3
[progress] wrote=2140000 skipped=54885 rows/sec=3507.9
[progress] wrote=2150000 skipped=55125 rows/sec=3517.5
[progress] wrote=2160000 skipped=55376 rows/sec=3527.1
[progress] wrote=2170000 skipped=55636 rows/sec=3536.6
[progress] wrote=2180000 skipped=55888 rows/sec=3546.1
[progress] wrote=2190000 skipped=56156 rows/sec=3555.6
[progress] wrote=2200000 skipped=56422 rows/sec=3565.0
[progress] wrote=2210000 skipped=56656 rows/sec=3574.4
[progress] wrote=2220000 skipped=56929 rows/sec=3583.7
[progress] wrote=2230000 skipped=57198 rows/sec=3593.0
[progress] wrote=2240000 skipped=57465 rows/sec=3602.2
[progress] wrote=2250000 skipped=57714 rows/sec=3611.4
[progress] wrote=2260000 skipped=57974 rows/sec=3620.6
[progress] wrote=2270000 skipped=58245 rows/sec=3629.7
[progress] wrote=2280000 skipped=58508 rows/sec=3516.5
[progress] wrote=2290000 skipped=58739 rows/sec=3525.5
[progress] wrote=2300000 skipped=58993 rows/sec=3534.5
[progress] wrote=2310000 skipped=59232 rows/sec=3543.5
[progress] wrote=2320000 skipped=59476 rows/sec=3552.4
[progress] wrote=2330000 skipped=59753 rows/sec=3561.3
[progress] wrote=2340000 skipped=60022 rows/sec=3570.2
[progress] wrote=2350000 skipped=60255 rows/sec=3579.1
[progress] wrote=2360000 skipped=60499 rows/sec=3587.9
[progress] wrote=2370000 skipped=60778 rows/sec=3596.7
[progress] wrote=2380000 skipped=61033 rows/sec=3605.4
[progress] wrote=2390000 skipped=61312 rows/sec=3614.1
[progress] wrote=2400000 skipped=61577 rows/sec=3622.7
[progress] wrote=2410000 skipped=61851 rows/sec=3631.3
[progress] wrote=2420000 skipped=62111 rows/sec=3639.9
[progress] wrote=2430000 skipped=62338 rows/sec=3648.5
[progress] wrote=2440000 skipped=62605 rows/sec=3414.5
[progress] wrote=2450000 skipped=62867 rows/sec=3422.8
[progress] wrote=2460000 skipped=63113 rows/sec=3431.1
[progress] wrote=2470000 skipped=63364 rows/sec=3439.3
[progress] wrote=2480000 skipped=63615 rows/sec=3447.6
[progress] wrote=2490000 skipped=63891 rows/sec=3455.8
[progress] wrote=2500000 skipped=64156 rows/sec=3464.0
[progress] wrote=2510000 skipped=64422 rows/sec=3472.2
[progress] wrote=2520000 skipped=64653 rows/sec=3480.4
[progress] wrote=2530000 skipped=64914 rows/sec=3488.6
[progress] wrote=2540000 skipped=65156 rows/sec=3496.7
[progress] wrote=2550000 skipped=65392 rows/sec=3504.8
[progress] wrote=2560000 skipped=65658 rows/sec=3512.8
[progress] wrote=2570000 skipped=65925 rows/sec=3520.9
[progress] wrote=2580000 skipped=66179 rows/sec=3528.9
[progress] wrote=2590000 skipped=66462 rows/sec=3475.6
[progress] wrote=2600000 skipped=66734 rows/sec=3483.5
[progress] wrote=2610000 skipped=66959 rows/sec=3491.4
[progress] wrote=2620000 skipped=67210 rows/sec=3499.2
